,Unnamed: 0,#,Transaction Date,Owner,Ticker,Asset Name,Type,Amount,Comment,Senator Name,Transaction Type,Comments
1222,,7,08/28/2018,Self,VEIPX,Vanguard Equity-Income Fund Investor Shares,,"$1,001 - $15,000",,"Wyden, Ron",Purchase,
1223,,8,12/19/2018,Self,VWO,Vanguard FTSE Emerging Markets Index Fund ETF Shar,,"$1,001 - $15,000",,"Wyden, Ron",Purchase,
1224,,9,02/09/2018,Self,BGCIX,BlackRock Global Long/Short Credit Fund Institutio,,"$1,001 - $15,000",,"Wyden, Ron",Purchase,
1225,,10,12/18/2018,Self,BGCIX,BlackRock Global Long/Short Credit Fund Institutio,,"$15,001 - $50,000",,"Wyden, Ron",Purchase,
1226,,11,03/08/2018,Self,GICIX,Goldman Sachs International Small Cap Insights Fun,,"$1,001 - $15,000",,"Wyden, Ron",Purchase,
1227,,12,12/19/2018,Self,FM,iShares MSCI Frontier 100 ETF,,"$1,001 - $15,000",,"Wyden, Ron",Purchase,
1228,,13,03/08/2018,Self,--,JPMorgan Emerging Markets Equity,,"$1,001 - $15,000",,"Wyden, Ron",Purchase,
1229,,14,08/28/2018,Self,JUSRX,JPMorgan U.S. Equity Fund Class R5,,"$1,001 - $15,000",,"Wyden, Ron",Purchase,
1230,,15,03/08/2018,Self,MIEIX,MFS Institutional International Equity Fund,,"$15,001 - $50,000",,"Wyden, Ron",Purchase,
1231,,16,03/08/2018,Self,PPSAX,Principal Preferred Securities Fund Class A,,"$1,001 - $15,000",,"Wyden, Ron",Purchase,
1232,,17,03/08/2018,Self,PCBIX,Principal MidCap Fund Institutional Class,,"$1,001 - $15,000",,"Wyden, Ron",Purchase,
1233,,18,10/05/2018,Self,VWSUX,Vanguard Short-Term Tax-Exempt Fund Class Admiral,,"$1,001 - $15,000",,"Wyden, Ron",Purchase,
1234,,19,12/17/2018,Self,GICIX,Goldman Sachs International Small Cap Insights Fun,,"$1,001 - $15,000",,"Wyden, Ron",Sale (Partial),
1235,,20,12/17/2018,Self,--,JPMorgan Emerging Markets Equity Fund CI L,,"$1,001 - $15,000",,"Wyden, Ron",Sale (Partial),
1236,,21,08/28/2018,Self,--,JPMorgan Emerging Markets Equity Fund CI L,,"$1,001 - $15,000",,"Wyden, Ron",Sale (Partial),
1237,,22,12/14/2018,Self,JUSRX,JPMorgan U.S. Equity Fund Class R5,,"$1,001 - $15,000",,"Wyden, Ron",Sale (Partial),
1238,,23,12/17/2018,Self,MIEIX,MFS Institutional International Equity Fund,,"$15,001 - $50,000",,"Wyden, Ron",Sale (Partial),
1239,,24,12/17/2018,Self,MFMIX,"Morgan Stanley Institutional Fund, Inc. Frontier M",,"$1,001 - $15,000",,"Wyden, Ron",Sale (Full),
1240,,25,12/17/2018,Spouse,ASFYX,Natixis ASG Managed Futures Strategy Fund Class Y,,"$15,001 - $50,000",,"Wyden, Ron",Sale (Full),
1241,,26,03/08/2018,Self,NVHIX,Nuveen Short Duration High Yield Municipal Bond Fu,,"$1,001 - $15,000",,"Wyden, Ron",Sale (Partial),
1242,,27,08/28/2018,Self,NVHIX,Nuveen Short Duration High Yield Municipal Bond Fu,,"$1,001 - $15,000",,"Wyden, Ron",Sale (Partial),
1243,,28,10/05/2018,Self,NVHIX,Nuveen Short Duration High Yield Municipal Bond Fu,,"$1,001 - $15,000",,"Wyden, Ron",Sale (Partial),
1244,,29,12/20/2018,Self,PCBIX,Principal MidCap Fund Institutional Class,,"$1,001 - $15,000",,"Wyden, Ron",Sale (Partial),
1245,,30,02/09/2018,Self,POSIX,Principal Global Real Estate Securities Fund Insti,,"$1,001 - $15,000",,"Wyden, Ron",Sale (Full),
1246,,31,03/08/2018,Self,OTCFX,T. Rowe Price Small-Cap Stock Fund,,"$1,001 - $15,000",,"Wyden, Ron",Sale (Full),
1247,,32,03/08/2018,Self,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fund Admiral,,"$50,001 - $100,000",,"Wyden, Ron",Sale (Full),
1248,,33,09/07/2018,Child,--,Oregon College Savings Plan Age 9-10 Age Based Portfolio,,"$100,001 - $250,000",,"Wyden, Ron",Sale (Full),
1249,,34,09/07/2018,Child,--,Oregon College Savings Plan - College Enrollment Year 2026 Portfolio,,"$100,001 - $250,000",,"Wyden, Ron",Purchase,
1250,,35,09/07/2018,Child,--,Oregon College Savings Plan Age 9-10 Age Based Portfolio,,"$100,001 - $250,000",,"Wyden, Ron",Sale (Full),
1251,,36,09/07/2018,Child,--,Oregon College Savings Plan - College Enrollment Year 2026 Portfolio,,"$100,001 - $250,000",,"Wyden, Ron",Purchase,
1252,,1,04/16/2018,Spouse,--,Aged Based Portfolio 40A (1100) CUSIP: 647109347 SE Age Based Track,,"$15,001 - $50,000",,"Heinrich, Martin",Sale (Partial),
1253,,2,04/16/2018,Spouse,--,Age Based Portfolio 30A (4904) CUSIP: 64710R404 SE Age Based Track,,"$15,001 - $50,000",,"Heinrich, Martin",Purchase,
1254,,1,03/12/2018,Spouse,--,MAINE ST HSG AUTH BOND  Rate/Coupon: 4.0% Matures: 11/15/2028,Sale (Full),"$15,001 - $50,000","REDEMPTION ""CALLED""","King, Angus",,
1255,,2,04/23/2018,Spouse,GILD,"Gilead Sciences, Inc.",Sale (Partial),"$1,001 - $15,000",--,"King, Angus",,
1256,,3,08/28/2018,Spouse,NKE,"NIKE, Inc.",Sale (Partial),"$1,001 - $15,000",--,"King, Angus",,
1257,,4,08/28/2018,Spouse,CB,Chubb Limited,Sale (Full),"$1,001 - $15,000",--,"King, Angus",,
1258,,5,10/17/2018,Spouse,SLB,Schlumberger Limited,Sale (Partial),"$1,001 - $15,000",--,"King, Angus",,
1259,,1,01/09/2018,Self,VFIAX,Vanguard 500 Index Fund Admiral Shares,,"$50,001 - $100,000",,"King, Angus",Sale (Partial),
1260,,2,01/16/2018,Self,QQQ,Invesco QQQ Trust,,"$15,001 - $50,000",,"King, Angus",Purchase,
1261,,3,01/16/2018,Self,JKE,iShares Morningstar Large-Cap Growth ETF,,"$15,001 - $50,000",,"King, Angus",Purchase,
1262,,4,01/16/2018,Self,QQQ,Invesco QQQ Trust,,"$1,001 - $15,000",,"King, Angus",Purchase,
1263,,5,01/16/2018,Self,PRSNX,T. Rowe Price Global Multi-Sector Bond Fund Invest,,"$15,001 - $50,000",,"King, Angus",Sale (Full),
1264,,6,01/16/2018,Self,RPIFX,T. Rowe Price Institutional Floating Rate Fund,,"$15,001 - $50,000",,"King, Angus",Sale (Full),
1265,,7,01/16/2018,Self,GLD,SPDR Gold Shares,,"$1,001 - $15,000",,"King, Angus",Sale (Full),
1266,,8,01/16/2018,Self,FSRRX,Fidelity Strategic Real Return Fund,,"$1,001 - $15,000",,"King, Angus",Sale (Full),
1267,,9,01/16/2018,Self,PRSNX,T. Rowe Price Global Multi-Sector Bond Fund Invest,,"$15,001 - $50,000",,"King, Angus",Sale (Full),
1268,,10,01/16/2018,Self,RPIFX,T. Rowe Price Institutional Floating Rate Fund,,"$15,001 - $50,000",,"King, Angus",Sale (Full),
1269,,11,01/16/2018,Self,QQQ,Invesco QQQ Trust,,"$15,001 - $50,000",,"King, Angus",Purchase,
1270,,12,01/16/2018,Self,JKE,iShares Morningstar Large-Cap Growth ETF,,"$15,001 - $50,000",,"King, Angus",Purchase,
1271,,13,01/30/2018,Spouse,SCHP,Schwab U.S. TIPS ETF,,"$1,001 - $15,000",,"King, Angus",Purchase,
1272,,14,01/30/2018,Spouse,SPY,SPDR S&P 500 ETF,,"$1,001 - $15,000",,"King, Angus",Sale (Partial),
1273,,15,04/04/2018,Spouse,--,FSICX - FIDELITY STRATEGIC INCOME FUND,,"$15,001 - $50,000",,"King, Angus",Sale (Full),
1274,,16,04/04/2018,Spouse,VWITX,Vanguard Intermediate-Term Tax-Exempt Fund Investo,,"$50,001 - $100,000",,"King, Angus",Sale (Full),
1275,,17,04/02/2018,Spouse,VWSUX,Vanguard Short-Term Tax-Exempt Fund Class Admiral,,"$50,001 - $100,000",,"King, Angus",Sale (Full),
1276,,18,04/05/2018,Self,GLD,SPDR Gold Shares,,"$1,001 - $15,000",,"King, Angus",Sale (Full),
1277,,19,04/05/2018,Self,FSRRX,Fidelity Strategic Real Return Fund,,"$1,001 - $15,000",,"King, Angus",Sale (Full),
1278,,20,04/05/2018,Self,QQQ,Invesco QQQ Trust,,"$1,001 - $15,000",,"King, Angus",Purchase,
1279,,21,04/17/2018,Self,--,MAINE TAX EXEMPT CTF,,"$15,001 - $50,000",,"King, Angus",Sale (Partial),
1280,,22,06/07/2018,Self,QQQ,Invesco QQQ Trust,,"$15,001 - $50,000",,"King, Angus",Purchase,
1281,,23,06/07/2018,Self,JKE,iShares Morningstar Large-Cap Growth ETF,,"$15,001 - $50,000",,"King, Angus",Purchase,
1282,,24,06/07/2018,Self,SDVSX,Sit Dividend Growth Fund Class S,,"$50,001 - $100,000",,"King, Angus",Sale (Partial),
1283,,25,07/24/2018,Self,SNSXX,The Charles Schwab Family of Funds - Schwab U.S. T,,"$1,001 - $15,000",,"King, Angus",Purchase,
1284,,26,07/24/2018,Self,SNSXX,The Charles Schwab Family of Funds - Schwab U.S. T,,"$1,001 - $15,000",,"King, Angus",Purchase,
1285,,27,09/11/2018,Self,VFIAX,Vanguard 500 Index Fund Admiral Shares,,"$50,001 - $100,000",,"King, Angus",Sale (Partial),
1286,,28,09/11/2018,Self,HLEMX,Harding Loevner Emerging Markets Portfolio Advisor,,"$1,001 - $15,000",,"King, Angus",Sale (Partial),
1287,,29,09/11/2018,Self,TBGVX,"Tweedy, Browne Global Value Fund",,"$15,001 - $50,000",,"King, Angus",Sale (Partial),
1288,,30,09/11/2018,Self,JKE,iShares Morningstar Large-Cap Growth ETF,,"$15,001 - $50,000",,"King, Angus",Purchase,
1289,,31,09/11/2018,Self,QQQ,Invesco QQQ Trust,,"$15,001 - $50,000",,"King, Angus",Purchase,
1290,,32,10/30/2018,Spouse,OAKIX,Oakmark International Fund Investor Class,,"$15,001 - $50,000",,"King, Angus",Sale (Full),
1291,,33,11/05/2018,Self,TBGVX,"Tweedy, Browne Global Value Fund",,"$1,001 - $15,000",,"King, Angus",Sale (Partial),
1292,,34,12/11/2018,Spouse,ODVYX,Oppenheimer Developing Markets Fund Class Y,,"$15,001 - $50,000",,"King, Angus",Sale (Full),
1293,,35,12/11/2018,Spouse,TPINX,Templeton Global Bond Fund Class A,,"$1,001 - $15,000",,"King, Angus",Sale (Full),
1294,,36,12/26/2018,Spouse,VEA,Vanguard FTSE Developed Markets Index Fund ETF Sha,,"$15,001 - $50,000",,"King, Angus",Sale (Full),
1295,,37,10/11/2018,Self,--,SWZXX - SCHWAB ADVISOR CASH RESERVES,,"$1,001 - $15,000",,"King, Angus",Sale (Full),
1296,,38,04/09/2018,Spouse,--,SWZXX - SCHWAB ADVISOR CASH RESERVE,,"$15,001 - $50,000",,"King, Angus",Sale (Full),
1297,,39,04/23/2018,Spouse,--,SWZXX - SCHWAB ADVISOR CASH RESERVES,,"$1,001 - $15,000",,"King, Angus",Sale (Full),
1298,,1,01/12/2018,Spouse,--,Intel Corp,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1299,,2,01/12/2018,Spouse,--,Robert Half Intl,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1300,,3,01/12/2018,Spouse,--,Ishares S&P Smll-Cap 600 Value,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1301,,4,01/12/2018,Spouse,--,Ishares Core S&P Small Cap ETF,Sale (Partial),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1302,,5,01/12/2018,Spouse,--,Ishares MSCI India Sm Cap,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1303,,6,01/12/2018,Spouse,--,ETFMG Prime Mobile Payments,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1304,,7,01/12/2018,Spouse,--,Wisdom Tree Intl Sm Cap Div,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1305,,8,01/12/2018,Spouse,--,Ishares S&P GS Commodity Index,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1306,,9,01/12/2018,Spouse,--,Arrow Managed Futures,Sale (Partial),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1307,,10,01/12/2018,Spouse,--,Global X Lithium & Battery,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1308,,11,01/12/2018,Spouse,--,Global X Robotics & Artificial Intelligence,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1309,,12,01/12/2018,Spouse,--,Alpine Ultra Short Muni Income,Sale (Partial),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1310,,13,01/12/2018,Spouse,--,Omega Healthcare Inv,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1311,,14,01/12/2018,Spouse,--,Ares Capital,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1312,,15,01/12/2018,Spouse,--,Western Asset /Claymore Inflation & Opportunity,Sale (Partial),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1313,,16,01/12/2018,Spouse,--,Owens & Minor,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1314,,17,01/12/2018,Spouse,--,Ishares China Large Cap,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1315,,18,01/12/2018,Spouse,--,Newell Brands,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1316,,19,01/12/2018,Spouse,--,Axis Capital Holdings,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1317,,20,01/12/2018,Spouse,--,Ishares MSCI EAFE,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1318,,21,01/12/2018,Spouse,--,Gladstone Corp,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1319,,22,01/12/2018,Spouse,--,CyrusOne,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1320,,23,01/12/2018,Spouse,--,Ishares Ibonds Dec 20 Trm,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1321,,24,01/12/2018,Spouse,--,FT EM SC Alphadex,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1322,,25,01/12/2018,Spouse,--,Ishares Ibonds Dec 2018 term,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1323,,26,01/12/2018,Spouse,--,Hartford Multifactor Developed Mkt,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1324,,27,01/12/2018,Spouse,--,Pacer Trendpilot 750,Sale (Partial),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1325,,28,01/12/2018,Spouse,--,Pacer Trendpilot 450,Sale (Partial),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1326,,29,01/12/2018,Spouse,--,Pacer Trendpilot 100,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1327,,30,01/12/2018,Spouse,--,Global X Lithium & Battery,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1328,,31,01/12/2018,Spouse,--,FMC Corp,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1329,,32,01/12/2018,Spouse,--,General Electric,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1330,,33,01/16/2018,Spouse,--,Icahn Enterprises  Rate/Coupon: 4.875% Matures: 03/15/2019,Sale (Full),"$15,001 - $50,000",--,"Carper, Thomas R.",,
1331,,34,01/17/2018,Spouse,--,Owens & Minor  Rate/Coupon: 3.875% Matures: 09/15/2021,Purchase,"$15,001 - $50,000",--,"Carper, Thomas R.",,
1332,,35,02/26/2018,Spouse,--,Global X Lithium & Battery,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1333,,36,02/26/2018,Spouse,--,Global X Lithium & Battery,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1334,,37,02/27/2018,Spouse,--,Seagate Technology,Sale (Full),"$15,001 - $50,000",--,"Carper, Thomas R.",,
1335,,38,04/13/2018,Spouse,--,Dominion Energy  Rate/Coupon: 2.579% Matures: 07/01/2020,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1336,,39,04/16/2018,Spouse,--,International Lease Finance  Rate/Coupon: 3.875% Matures: 04/15/2018,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1337,,40,05/01/2018,Spouse,--,Ishares Ibonds Dec 2019 Trm Corp,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1338,,41,05/01/2018,Spouse,--,Hormel Foods,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1339,,42,05/01/2018,Spouse,--,Alpine Ultra-Short Muni Income I,Sale (Partial),"$1,001 - $15,000",Aberdeen Ultra Short Muni Income Inst took over Alpine Ultra-Short Muni Income I. Name change 5/8/18,"Carper, Thomas R.",,
1340,,43,05/01/2018,Spouse,--,Kraneshares Bosera MSCI China A,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1341,,44,05/01/2018,Spouse,--,SPDR S&P Aerospace & Def ETF,Sale (Partial),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1342,,45,05/01/2018,Spouse,--,ETFMG Prime Mobile Payments ETF,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1343,,46,05/01/2018,Spouse,--,National Presto Corp,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1344,,47,05/01/2018,Spouse,--,Harris Corp Delaware,Sale (Partial),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1345,,48,05/01/2018,Spouse,--,Iron Mountain,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1346,,49,05/01/2018,Spouse,--,Ishares Ibonds Dec 2019 Trm Corp,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1347,,50,05/01/2018,Spouse,--,Ishares Ibonds Dec 2018 Trm Corp,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1348,,51,05/01/2018,Spouse,--,Newell Corp,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1349,,52,05/01/2018,Spouse,--,CVS Health,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1350,,53,05/11/2018,Spouse,--,Arrow Managed Futures Strategies A,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1351,,54,05/11/2018,Spouse,--,Catalyst Millburn Hedged Strategies I,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1352,,55,05/11/2018,Spouse,--,Arrow Managed Futures Strategies A,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1353,,56,05/11/2018,Spouse,--,Catalyst Millburn Hedged Strategies I,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1354,,57,05/17/2018,Spouse,--,Lord Abbett Ultra Short Bond Fd,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1355,,58,05/18/2018,Spouse,--,Aberdeen Ultra Short Muni Income Inst,Sale (Full),"$1,001 - $15,000",Aberdeen Ultra Short Muni Income Inst took over Alpine Ultra-Short Muni Income I. Name change 5/8/18,"Carper, Thomas R.",,
1356,,59,05/24/2018,Spouse,--,The Scotts Miracle-Gro Group,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1357,,60,05/24/2018,Spouse,--,Nvent Electric,Sale (Full),"$1,001 - $15,000",Spin off from asset still held (Pentair plc) and then sold.,"Carper, Thomas R.",,
1358,,61,07/23/2018,Spouse,--,Walt Disney Corp,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1359,,62,07/23/2018,Spouse,--,Tellus Corp,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1360,,63,07/23/2018,Spouse,--,Danaher Corp,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1361,,64,07/23/2018,Spouse,--,Knight-Swift Transportation Holdings,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1362,,65,08/03/2018,Spouse,--,HSBC Contingent Autocall on the Blackstone Group  Rate/Coupon: 8.8% Matures: 08/03/2018,Sale (Full),"$15,001 - $50,000",--,"Carper, Thomas R.",,
1363,,66,08/07/2018,Spouse,--,Abbvie,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1364,,67,08/07/2018,Spouse,--,Owens & Minor,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1365,,68,08/13/2018,Spouse,--,VF Corp,Sale (Partial),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1366,,69,08/17/2018,Spouse,--,Sprott Physical Gold and Silver,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1367,,70,09/10/2018,Spouse,--,Hewlett Packard Enterprises,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1368,,71,09/10/2018,Spouse,--,Analog Devices,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1369,,72,10/05/2018,Spouse,--,Raytheon,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1370,,73,10/09/2018,Spouse,--,Ishares Ibonds Dec 18 Trm ETF,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1371,,74,10/09/2018,Spouse,--,Fidelity Advisor Intl Capital Appreciation,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1372,,75,10/09/2018,Spouse,--,Global X Fintech ETF,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1373,,76,10/09/2018,Spouse,--,Ishares China Large Cap ETF,Sale (Partial),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1374,,77,10/09/2018,Spouse,--,Alps ETF Trust Alps Medical,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1375,,78,10/09/2018,Spouse,--,Ishares Core S&P 500 ETF,Sale (Partial),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1376,,79,10/09/2018,Spouse,--,Ishares MSCI India Small Cap,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1377,,80,10/09/2018,Spouse,--,SPDR Eurostoxx 50 ETF,Sale (Partial),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1378,,81,10/09/2018,Spouse,--,Victoryshares US 500 Volatility,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1379,,82,10/09/2018,Spouse,--,SPDR S&P Aerospace & Defense ETF,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1380,,83,10/09/2018,Spouse,--,FT Nasdaq Cybersecurity ETF,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1381,,84,10/09/2018,Spouse,--,Kraneshares Bosera MSCI China A,Sale (Partial),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1382,,85,10/09/2018,Spouse,--,Ishares US Regional Bank ETF,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1383,,86,10/09/2018,Spouse,--,Lord Abbbett Ultra Short Bd Fund,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1384,,87,10/09/2018,Spouse,--,Ishares Ibonds Dec 19 Trm ETF,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1385,,88,10/12/2018,Spouse,--,Amazon,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1386,,89,10/22/2018,Spouse,--,Amazon,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1387,,90,10/26/2018,Spouse,--,Amazon,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1388,,91,10/26/2018,Spouse,--,Toronto Dominion Bank Step-Up Note  Rate/Coupon: 3.0% Matures: 10/31/2020,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1389,,92,10/26/2018,Spouse,--,Toronto Dominion Bank Step-Up Note  Rate/Coupon: 3.0% Matures: 10/31/2020,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1390,,93,10/29/2018,Spouse,--,Zoetis Inc Class A,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1391,,94,10/29/2018,Spouse,--,Sprott Physical Gold & Silver Tr,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1392,,95,10/29/2018,Spouse,--,Pentair PLC,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1393,,96,10/29/2018,Spouse,--,Catalyst Millburn Hgd Strategies,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1394,,97,10/29/2018,Spouse,--,Abbvie,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1395,,98,10/29/2018,Spouse,--,Ishares Ibonds Dec 20 TRM,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1396,,99,10/29/2018,Spouse,--,TenCent Holdings Ltd Unsponsored ADR,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1397,,100,10/29/2018,Spouse,--,Algonquin Power Utils,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1398,,101,10/29/2018,Spouse,--,FT EM SC Alphadex,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1399,,102,10/29/2018,Spouse,--,AQR Long-Short Equity,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1400,,103,10/29/2018,Spouse,--,Ishares Ibonds Dec 18 TRM,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1401,,104,10/29/2018,Spouse,--,Hartford Multifactor Developed Markets ETF,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1402,,105,10/29/2018,Spouse,--,DowDupont,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1403,,106,10/29/2018,Spouse,--,Iron Mountain,Sale (Partial),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1404,,107,10/29/2018,Spouse,--,Corning Inc,Sale (Partial),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1405,,108,10/29/2018,Spouse,--,Fifth Third Bancorp,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1406,,109,10/29/2018,Spouse,--,Intel Corp,Sale (Partial),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1407,,110,10/29/2018,Spouse,--,Tyson Foods,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1408,,111,10/29/2018,Spouse,--,Hexcel Corp,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1409,,112,10/29/2018,Spouse,--,Qualcomm Inc,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1410,,113,10/29/2018,Spouse,--,Ishares China Large Cap ETF,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1411,,114,10/29/2018,Spouse,--,Agilent Technologies,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1412,,115,10/29/2018,Spouse,--,Lazard Global Total Return & Income,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1413,,116,10/29/2018,Spouse,--,Packaging Corp,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1414,,117,10/29/2018,Spouse,--,Fedex Corp,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1415,,118,10/29/2018,Spouse,--,Altria Group,Sale (Full),"$1,001 - $15,000",--,"Carper, Thomas R.",,
1416,,119,10/29/2018,Spouse,--,Metlife,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1417,,120,10/29/2018,Spouse,--,Ishares MSCI Emerging Markets ETF,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
1418,,121,10/29/2018,Spouse,--,Raytheon,Purchase,"$1,001 - $15,000",--,"Carper, Thomas R.",,
